"sku","title","description","price"
"V27000","Vanilla Cream Pie","Elitr imperdiet sit ex, congue definitiones nec eu. Ad graece laboramus pertinacia his, et malorum delectus maluisset mei, te vel pertinacia adolescens. Natum fabulas efficiendi id mea. Ex eam iudico appareat, nam insolens argumentum ne, usu ea nostrum interesset. Ex vis placerat postulant, petentium sententiae sed in.\n","2.70"
"P28000","Peanut Butter Cookies","Et vis graecis delectus, quem impetus iudicabit et nam, sea dicit ullamcorper et. Has rebum facer phaedrum eu, posidonium constituam mel ei. Eu agam exerci voluptua his, nusquam assentior contentiones in qui. Ne nam vide minimum phaedrum, liber aliquid id quo. Pro suas assum primis in, pri fierent recteque et, sit idque scripta ea.\n","2.80"
"O29000","Oatmeal Raisin Cookies","Solet ignota eos ad, sonet tempor cu vel. In vidisse gloriatur dissentiet has, ut quas aliquando pro. Nonumes voluptua cu eam. Vel ut liber offendit gloriatur, qui vidit solet id, cetero debitis contentiones mel an. An putant mandamus intellegebat nec.\n","2.90"
"C30000","Chocolate Mousse","Graecis maiorum sed et, cum cu utinam munere quodsi. Homero evertitur mel et, movet semper labores eu pri. Mei bonorum platonem oportere id, vel corpora perfecto ea. Hinc dissentias nec in. Ei nec atomorum percipitur comprehensam. Justo nulla oblique an sea, est soleat legere suavitate ei, dicant pericula ad nec.\n","3.00"
"B31000","Baklava","Ius te case mutat, dicam euripidis vituperatoribus cu eam, has suscipit mediocrem conceptam ne. Te everti definitionem usu. Vix ceteros facilisis ne, usu eligendi percipit dignissim at. Case theophrastus est ne. Deleniti perfecto quo id. Est te causae labitur feugait, modo adolescens at sit.\n","3.10"
"C32000","Chocolate Fondue","In qui quidam iriure, ex aliquip principes pri, at cum augue expetenda patrioque. Has duis facete te, duo sint omnis ex. Soluta labitur id eam, utroque inciderint te vel. Mel mazim labitur offendit id. Primis legendos est no, docendi aliquando pri ad, ut fugit facete nusquam mei. Pri iusto viris forensibus cu, nec rebum deseruisse in, facilisi lobortis ne vel.\n","3.20"
"S33000","Strawberry Shortcake","Ad pri unum erant essent. Elitr tollit corrumpit id sed, justo atomorum pertinacia usu cu. Sed te falli fierent pertinacia, docendi democritum at sit. Sit ex percipit postulant, et vero adolescens vis.\n","3.30"
"A34000","Apple Pie a la Mode","Omnis voluptaria quo eu, mel ei invenire iudicabit, ut vel solet mnesarchum cotidieque. Eam cu consulatu argumentum, qui ignota dolorum id, debitis epicuri lobortis ad sit. Nam te discere docendi suscipiantur. Mutat dicam contentiones pro eu, eam ut harum aeterno. Mea dicam tantas aliquam ut. An tota suavitate nec, ea vix assum reprimique, pri error suscipit reprehendunt ei.\n","3.40"
"N35000","Neapolitan Ice Cream","Nam id congue albucius efficiantur, eleifend assueverit sea in. Sumo erroribus in ius, no eos ponderum gloriatur, cetero numquam posidonium ne pro. Te vim tempor temporibus mediocritatem, nec ex phaedrum intellegam. Cu est dicant intellegat pertinacia. Veri audire probatus in vel, his dicat errem timeam cu. Nam facilis facilisis qualisque ne, sed ad diam idque iudicabit. An est tale assum constituto.\n","3.50"
"C36000","Cinnamon Roll","Possit viderer quo te. Eros ridens oporteat ex pro. Molestiae sententiae ex duo, accumsan pertinacia has in. Cum postulant rationibus no, mel vide inani ad. Duo ei discere commune posidonium. Cum at legimus perfecto eleifend.\n","3.60"
"G37000","Gingerbread Cookies","Qui rebum movet te, aliquam verterem ei quo, amet noluisse definiebas ex vis. Te ridens eligendi ponderum usu, exerci dictas vix ad. Per congue maluisset no. Mel fabellas detraxit mandamus at.\n","3.70"
"G38000","Gingerbread Dude","Dicat possim iriure ei mel. Laudem verterem vel te. Per ut invidunt neglegentur, liber invidunt cu sit. Nam modus nostrum delicatissimi ad, putent apeirian electram his cu. An veritus epicurei cum, ei facete sensibus vim.\n","3.80"
"B39000","Bread Pudding","Modus volumus sed an, id ius alienum persequeris. Ex pri malis altera praesent, cu has tantas virtute dignissim. Ex his omnium electram, at quod aliquid laoreet sea. Ea invenire consequat duo. Ex vis prima mentitum. Ius omnes affert te. Ne vel ludus audiam dissentias.\n","3.90"
"C40000","Coconut Custard Pie","Ullum doctus vix at, prompta apeirian vituperatoribus eu mei. Te adhuc oratio perfecto has, ei option corpora sea, adipisci principes at est. Nam te graeco omnium laboramus, duis impedit scribentur has id. Enim aeque aliquid nec ad, duo eirmod aliquam interesset cu.\n","4.00"
"C41000","Coconut Macaroon","At augue torquatos signiferumque pro, ipsum definitionem nec id, eu noster lobortis vis. At vel laudem admodum officiis, te nam numquam maluisset. Solum antiopam platonem per at, vidit idque volutpat at pri. Debet oratio tation sit ut, cu discere feugait his, choro utamur vocibus eam an. Torquatos dissentiet ne ius, et doming aliquam vix.\n","4.10"
"I42000","Ice Cream Cone","Sea sumo omittam torquatos cu, qui et feugait tractatos iracundia. Mea ex porro legere oportere, nominavi percipit qui id, nam minimum voluptaria instructior ut. Detraxit recusabo inimicus in eam, fastidii deseruisse ea duo. Eos alii prima te, cibo epicurei accusamus an nec. In has enim aliquip accommodare, ut scriptorem liberavisse necessitatibus eam, his ei falli iriure disputando. Veri mnesarchum has te, iisque tacimates sit no.\n","4.20"
"M43000","Mint Chocolate Milk Shake","Essent tractatos ei vel, nam tibique maiestatis an. Petentium reprimique at quo, te qui mentitum philosophia. Ut sea quas libris liberavisse, tantas omittantur vituperatoribus no nec, erat intellegat efficiantur sea et. Eam ne quas dolorem voluptua, ea dicunt eleifend efficiendi est. No sea oratio voluptatum accommodare. Usu ex brute fabulas. Cu vis dico homero deterruisset, oratio percipitur id vel.\n","4.30"
"P44000","Pecan Pie","At viris doming assueverit vim, rebum graeci omnesque cum cu, ea doctus dissentias nec. Ex eros animal sententiae est, meis volumus mnesarchum mel te. Sed et utroque perfecto, eum in nonumy convenire neglegentur. Inermis omittam ad vix. Eu quo eruditi intellegat efficiendi. Nonumy consequat ne est, qui legere perpetua sadipscing ex, perfecto theophrastus conclusionemque mea eu. Volumus detraxit in mea.\n","4.40"
"S45000","Smores","Vim quot dolore probatus ne, quo impetus iuvaret in, ei est soleat persius. Fierent singulis accusamus ei mei, omittam honestatis cum ad, has dicant prompta id. Ut mutat libris discere pro, per tale suas ancillae ad, qui omnis postea eu. Vix justo molestie temporibus ne, id nam sumo molestiae deseruisse, illud facete lucilius est ei.\n","4.50"
"B46000","Black Forest Cake","Ex ius minim invidunt patrioque, utamur disputando theophrastus usu et. Ea sit nobis doming delicata. Ludus inimicus ad nam, nullam accusam te eos. Ex eum saepe salutandi principes, justo vulputate mei te, mei te solet veniam labores. Vix te nobis lucilius, aeterno vocibus vim no, utamur copiosae ei sea. No ius inciderint concludaturque, usu ut nostrud scaevola. Id ius quod audire, no sit nulla noster praesent, wisi torquatos voluptaria eam id.\n","4.60"
"F47000","Fruit Cake","Audiam dissentias pri no. Vel oratio nominati evertitur an, est ad case debet disputando. Ut eum liber dolores. Exerci tempor delectus ea vim, odio purto assueverit eos ut, at quo denique lucilius. Eam id diam nostrud inciderint, his id quaeque probatus deterruisset. Elit virtute an vim, patrioque sententiae scriptorem an pri.\n","4.70"
"P48000","Pumpkin Nut Bread","Per altera sanctus eu. Patrioque forensibus nec ex, te sit abhorreant deseruisse. Ut pro eius accusamus definitionem, enim necessitatibus ut has. Pro et enim ullum laoreet. Duo ea salutatus concludaturque, eu veri justo affert nam. Pro purto tractatos id, eu vix latine neglegentur.\n","4.80"
"P49000","Pumpkin Pie","Cum assum splendide vituperatoribus ne, pri eros veritus denique cu. Cum meliore fuisset ad, cum ei vitae labore nusquam. Te movet vitae usu, vix ei possim vocent euripidis. Ea utroque disputando concludaturque eum, alia ancillae adolescens eos cu. Et legere appareat suavitate qui, dolore explicari mel at.\n","4.90"
"P50000","Pumpkin Ice Cream","Nec ei elitr accusam torquatos. Eu eos dicit pertinacia. Eu quando torquatos quo, quod tollit phaedrum te vis. An quo assum iudico, duo probo atomorum et. Est eros partem corrumpit ad, est ei zril choro.\n","5.00"
"R51000","Rhubarb Crumble","Decore mandamus recteque eos in. In saepe aliquid mea. Cu sed labitur facilisi. Eu maiorum tibique mei, percipit persecuti incorrupte ea usu. Te sumo meis scriptorem usu. Duis deterruisset his in, augue intellegat sadipscing mei te.\n","5.10"
"C52000","Carrot Cake","Saepe recteque te per, sit id dicat maluisset. An sint quando tincidunt nam, mei in ferri aliquando. An diam meis aliquando mea, eu quo brute illud elitr. Vix in quot possit forensibus. Vix primis constituam ad, est possim accusata ut, nulla atomorum indoctum ea nec.\n","5.20"
"I53000","Ice Cream Cake","Eam et vitae diceret. Tota summo eruditi ea eam. Ut hendrerit constituto repudiandae eos, his noster timeam singulis in, audire bonorum appetere at vel. Ius paulo praesent ad, duo at graecis accusam.\n","5.30"
"B54000","Baked Alaska","Cu fierent sadipscing eos, ferri liberavisse et eos. Vide malis ei eum, at his alia posse omittantur, at his legere eruditi. Omnesque laboramus sententiae ad sea, ut zril solet consectetuer quo. Vitae feugiat ut usu, cum eu sanctus maiestatis voluptaria, pri id graeci facete adipisci. Sit ei dicam audiam feugiat, eum denique definiebas consequuntur in.\n","5.40"
"I55000","Ice Cream Sandwich","Voluptaria philosophia ut pri, errem possim cu mea. Eam id fugit admodum. Per eu sonet nostro luptatum, an eum doming causae complectitur. Ad his constituam signiferumque, ei sed ridens graecis indoctum, mei doming copiosae ex. Qui ne audiam integre neglegentur, decore nonumy atomorum et sit.\n","5.50"
"H56000","Hot Fudge Sundae","Ridens integre delicatissimi nec cu. Nec id graece aliquid. Elitr lucilius senserit ad cum, ferri reprimique dissentias in vel. Ne natum omnis omnesque eos, in essent numquam ancillae eam, te sale dicam quo.\n","5.60"
"P57000","Pecan Praline Ice Cream","Nam ornatus accusata similique ut, quo ignota dolores cu. Offendit invidunt sit ut, has ne quot decore. Usu ad sumo illud luptatum, dicat nostrud urbanitas pro te. Mel epicuri aliquando ei, audiam scripserit vis id. Veri simul et sit. Affert salutatus id cum, idque labore equidem ei mei.\n","5.70"
"B58000","Banana Split","Veri intellegebat pro ne, solet dictas duo ea. Eam id assum epicurei moderatius, ferri graeco delenit an vis. Ius iisque vidisse blandit ut, unum detracto eos ad. Patrioque iracundia sententiae mei et, omnis veritus fabellas et mea.\n","5.80"
"B59000","Boston Cream Pie","Impetus habemus torquatos quo ea, mei cu option consequat. Rationibus voluptatum ea mea, etiam patrioque ad usu, sea ei autem detracto recusabo. Enim delenit eam ea, mel ei electram postulant. Eam an liber ubique.\n","5.90"
"B60000","Banana Bread","Ei mei mazim mandamus moderatius, vocent deserunt no mea, eros sapientem disputationi ea nec. Magna voluptua posidonium eu sit, has amet invenire consequuntur ut, ea quidam cotidieque instructior vel. Eos at augue causae mediocritatem. Natum aperiri sapientem vix ea. Vidit congue nostrud quo an, ad simul euismod ancillae cum.\n","6.00"
"C61000","Chocolate Layer Cake","Integre signiferumque mediocritatem per an, quot ignota an pro, sea tollit mediocrem at. Regione eruditi sea te, ei est euismod platonem, fabulas honestatis repudiandae cum id. Nam vocibus mandamus id, mel ea oratio nostro alienum. Mei ex epicuri constituto, duo zril mediocritatem ad, duo utamur numquam scriptorem ex. Harum oblique mea et.\n","6.10"
"S62000","Shortbread Cookies","Mel inani consequat ex, consequat reformidans referrentur ut mei, eu dolorum scaevola eos. Ei mea dicat dolorem volutpat, in regione oportere per. Ferri atomorum incorrupte in vim, id elit summo sit, vim sumo partiendo posidonium ea. Ne eius dicunt vocent cum, no quodsi prompta pericula his, cu animal ceteros per. Sit cu movet bonorum, ponderum concludaturque sea at. Id inani populo inciderint sit, paulo mucius definiebas id sit.\n","6.20"
"O63000","Oreo Cookies","An everti oblique qui, dolor tibique insolens nam ut. An porro albucius gloriatur his. Cum ex zril elaboraret. Sit ei labitur propriae liberavisse, an est malorum vivendo molestiae, sea ad modo congue detracto.\n","6.30"
"P64000","Pop Tarts","Eos labore consectetuer et, etiam iriure sed an, quidam aperiri honestatis at eum. Impetus praesent reformidans nam ex. Nonumy laudem per ad, at homero consul necessitatibus mea. Luptatum intellegebat ius id, ne sit ferri placerat dignissim.\n","6.40"
